Codigo;Detalle;Stock;Precio
0;ARTICULOS VARIOS;0;0.00
2;ACEITE PARA MADERA BIDON 4LTS. (CAJA X 4);0;19359.04
3;ACEITE PARA MADERA 15 BOT.X 900 CC.;14.00;4637.13
4;ACEITE PARA MADERA X 200 LTS.GRANEL;0;850408.72
5;DILURRAS BIDON X 4 LTS. (CAJA X 4);0.00;32053.83
6;DILURRAS X 200 LTS.;0;1482194.25
7;DILURRAS CAJA 15 BOT.X 900 CC;29.50;6619.27
8;AGUARRAS SOLAR CAJA 15 X 900CC.;71.00;2621.20
9;ALAMBRE A.R. OVAL. 17/15 FORTIN X 1000 MTS.;0.00;282128.21
10;ALAMBRE ALTA RESISTENCIA (2.2MM X 1000 M);0.00;278548.01
11;ALAMBRE ALTA RESISTENCIA (2.5MM X 1000 M);0.00;363515.28
13;ALAMBRE DE PUAS X 50 M;4.00;58341.87
16;ALAMBRE TEJIDO ACINDAR 150-63-14-15;0.00;156385.31
17;ALAMBRE TEJIDO ACINDAR 150-76-14-15;0.00;147796.59
18;ALAMBRE TEJIDO ACINDAR 180-63-14-15;0.00;202761.37
19;ALAMBRE ESCOBERO  X  KG.;0.00;16601.52
22;ALAMBRE NEGRO REC.CAL.17 - 1.42;0.00;8704.38
25;ALAMBRE NEGRO REC. CAL.14 - X KG.;0.00;7034.23
26;ALAMBRE  REC. CAL.14 X 1 KGR. (PACK X 10).;0.00;14099.21
27;ALAMBRE NEGRO REC. CAL.16 - X KG.;0;5973.53
31;MIX DE CEMENTO PREGO (CAJA X 10);0;3352.25
33;CEMENTO RAPIDO GRIS PREGO (CAJA X 10);0.00;526.95
34;ENDUIDO EN POLVO PREGO (CAJA X 10);0;1743.76
40;HIDROFUGO PREGO X 200 KG;0.00;105.03
41;HIDROFUGO PREGO X 1 KG (PACK X 6);0.00;448.88
42;HIDROFUGO PREGO X 10 KG;0.00;2302.57
43;HIDROFUGO PREGO X 20 KG;0.00;3905.86
44;HIDROFUGO PREGO X 4 KG;0.00;1102.34
45;SECOSITA (HIDROFUGO LIQUIDO) CAJA 12 X 1 LT;0.00;1810.95
46;SECOSITA (HIDROFUGO LIQUIDO) CAJA 4 X 5 LT;0.00;5135.30
49;PROMO CINTA DE EMPAQUE (MARRON) X CAJA 36U 48X40M.;0;1503.38
50;PROMO CINTA DE EMPAQUE (TRANS) X CAJA 36U 48X40M.;35.00;1565.60
51;CINTA AA PINTOR DE ENMASC. 12 X 50 MTS.;0;243.81
52;CINTA DOBLE A PINTOR DE ENMASC. 18 X 40 MTS.;0;2862.71
53;CINTA DOBLE A PINTOR DE ENMASC. 24 X 50 MTS.;0;4923.88
54;CINTA DOBLE A PINTOR DE ENMASC. 36 X 50 MTS.;0;7386.00
55;CINTA DOBLE A PINTOR DE ENMASC. 48 X 40 MTS.;0;7633.82
56;CINTA EKO ENMASC. 12 X 40 MTS.;0;1713.12
57;OF.- CINTA EKO ENMASC. 18 X 40 MTS.;1.00;2549.06
58;CINTA EKO ENMASC. 24 X 40 MTS.;0;3426.14
59;CINTA EKO ENMASC. 36 X 40 MTS.;0;4823.52
60;CINTA EKO ENMASC. 48 X 40 MTS.;0;7530.73
61;PROMO CINTA AA PINTOR ENMASC. AA 12 X 50 MTS. CAJA X 72;0.00;677.55
62;PROMO CINTA AA PINTOR ENMASC. AA 18 X 40 MTS CAJA X 48;0.00;2750.16
63;PROMO CINTA AA PINTOR ENMASC. AA 24 X 50 MTS CAJA X 36;0.00;4730.00
64;PROMO CINTA AA PINTOR ENMASC. AA 36 X 50 MTS CAJA X 24;0.00;7095.17
65;PROMO CINTA AA PINTOR ENMASC. AA 48 X 40 MTS CAJA X 20;0.00;7333.23
66;PROMO CINTA EKO ENMASC. 12 X 40 MTS. (CAJA X 72 UNID);0;1479.52
67;PROMO CINTA EKO ENMASC. 18 X 40 MTS. (CAJA X 48 UN);39.00;2201.46
68;PROMO CINTA EKO ENMASC. 24 X 40 MTS. (CAJA X 36 UNID);30.00;2958.94
69;PROMO CINTA EKO ENMASC. 36 X 40 MTS. (CAJA X 24 UNID);7.00;4402.92
70;PROMO CINTA EKO ENMASC. 48 X 40 MTS. (CAJA X 18 UNID);10.00;5882.47
71;CINTA AA PREMIUM (VERDE) AA 18 X 40 MTS;0.00;367.98
72;CINTA AZUL EKO PREMIUM. 18 X 40 MTS.;0;3144.96
73;CINTA AZUL EKO PREMIUM. 24 X 40 MTS.;0.00;4206.38
74;CINTA AISLADORA PVC EKO 18 MM.X 10 MTS. (CAJA X 30);0;1171.50
75;CINTA AISLADORA PVC EKO 18 MM.X 20 MTS. (CAJA X 20);0.00;2257.26
76;ENDUIDO SOLAR X 1 LITRO (4 UNID);0.00;3966.78
77;ENDUIDO SOLAR X 20 LTS.;0.00;45439.87
78;ENDUIDO SOLAR X 4 LTS.;0;11840.94
79;ENDUIDO SOLAR X 10 LTS.;0.00;24195.44
80;ENDUIDO VENTO (PACK 4 X 1 L);16.00;4376.56
81;ENDUIDO VENTO X 10;6.00;28058.85
82;ENDUIDO VENTO X 20;2.00;52636.97
83;ENDUIDO VENTO X 4;5.00;13480.06
84;ESC. EXT. ALUMINIO   8 -16 E;0.00;404217.78
85;ESC. EXT. ALUMINIO 10 - 20E;0.00;475401.22
86;ESC. EXT. ALUMINIO 12 - 24E;0.00;627830.99
87;ESC. EXT. ALUMINIO 14 - 28E;0.00;667648.11
88;ESC. EXT. ALUMINIO 16 - 32E;0.00;893063.37
89;ESC. EXT. ALUMINIO 18 - 36E;0.00;1003472.99
90;ESC. EXT. ALUMINIO 20 - 40E;0.00;1128876.71
91;DURANTE ESCALERA PINTOR 10E;1.00;91025.53
92;DURANTE ESCALERA PINTOR 11E;0.00;149610.14
93;DURANTE ESCALERA PINTOR 12E;0;163211.06
94;DURANTE ESCALERA PINTOR 13E;0.00;176811.98
95;DURANTE ESCALERA PINTOR 14E;0.00;190412.90
96;DURANTE ESCALERA PINTOR 3E;0.00;8017.85
97;DURANTE ESCALERA PINTOR 4E;0.00;48182.75
98;DURANTE ESCALERA PINTOR 5E;1.00;60228.43
99;DURANTE ESCALERA PINTOR 6E;0.00;72274.12
100;DURANTE ESCALERA PINTOR 7E;1.00;84319.81
101;DURANTE ESCALERA PINTOR 8E;0.00;96365.49
102;DURANTE ESCALERA PINTOR 9E;0;108411.18
112;ESPATULA MANGO PLASTICO N° 30;0;3735.50
113;ESPATULA MANGO PLASTICO N° 40;0;3820.69
114;ESPATULA MANGO PLASTICO N° 50;0.00;3934.33
115;ESPATULA MANGO PLASTICO N° 60;0;4015.33
116;ESPATULA MANGO PLASTICO N° 70;0;4093.42
117;ESPATULA MANGO PLASTICO N° 80;4.00;4234.01
118;ESPATULA MANGO PLASTICO N° 90;0.00;4343.40
119;ESPATULA PINTOR   N° 30;0;4080.42
120;ESPATULA PINTOR  N° 40;0.00;4164.75
121;ESPATULA PINTOR  N° 50;0.00;4260.57
122;ESPATULA PINTOR  N° 60;0.00;4348.09
123;ESPATULA PINTOR  N° 70;0.00;4421.08
124;ESPATULA PINTOR  N°80;0;3919.01
125;ESPATULA PINTOR  N°90;0.00;4004.58
126;ESTOPA COLOR 25 PAQ.X 1 KG.;0;2726.56
127;ESTOPA COLOR 30 PAQ.X 700 GRS.;0.00;2789.43
128;ESTOPA COLOR 50 PAQ.X 400 GRS.;0;1645.44
129;ESTOPA COLOR X 50 KGS.GRANEL;0.00;1986.40
130;FERRITE AMARILLO 20 PAQ.X 1 KG.;0;3806.92
133;FERRITE AZUL COROL PAQ.X 1 KG.;0;2418.33
135;FERRITE NEGRO COROL PAQUETE X 1 KG.;11.00;708.57
137;FERRITE ROJO COROL X 20 KGS. GRANEL;19.37;84655.49
139;FERRITE VERDE COROL PAQ.X 1 KG.;0;2418.33
140;KEROSENE CAJA 15 X 900 CC.;8.00;6215.36
141;KEROSENE X 200 LTS.;0.00;1201782.82
142;KEROSENE X 4 LTS. CAJA X 4;0.00;26439.06
143;LATEX SOLAR EXTERIOR X 10 LS.;0;33875.65
144;OF.- LATEX SOLAR EXTERIOR X 20 LS;0.00;47667.49
145;LATEX SOLAR EXTERIOR X 4 LS.;0.00;16769.49
146;LATEX SOLAR INTERIOR X 1 LS. (PACK X 4);0.00;4534.76
147;LATEX SOLAR INTERIOR X 10 LS.;1.00;29002.44
148;OF.- LATEX SOLAR INTERIOR X 20 LS;0.00;38956.50
149;LATEX SOLAR INTERIOR X 4 LS.;0.00;14314.29
150;LATEX COLOR AMARILLO X 1 LT. (PACK X 4);5.00;6810.50
151;LATEX COLOR AMARILLO X 10 LTS.;1.00;49918.75
152;LATEX COLOR AMARILLO X 4 LTS.;4.00;23755.37
153;LATEX COLOR AZUL X 1 LT. (PACK X 4);5.00;6810.50
154;LATEX COLOR AZUL X 10 LTS.;1.00;49918.75
155;LATEX COLOR AZUL X 4 LTS.;4.00;23755.37
156;LATEX COLOR FUCSIA X 1 LT. (PACK X 4);5.00;6810.50
157;LATEX COLOR FUCSIA X 10 LTS.;1.00;49918.75
158;LATEX COLOR FUCSIA X 4 LTS.;4.00;23755.37
159;LATEX COLOR MARRON X 1 LT. (PACK X 4);4.00;6810.50
160;LATEX COLOR MARRON X 10 LT.;1.00;49918.75
161;LATEX COLOR MARRON X 4 LT.;3.00;23755.37
162;LATEX COLOR NARANJA X 1 LT. (PACK X 4);7.00;6810.50
163;LATEX COLOR NARANJA X 10 LTS.;1.00;49918.75
164;LATEX COLOR NARANJA X 4 LTS.;3.00;23755.37
165;LATEX COLOR NEGRO X 1 LT. (PACK X 4);4.00;6810.50
166;LATEX COLOR NEGRO X 10 LTS.;1.00;49918.75
167;LATEX COLOR NEGRO X 4 LTS.;4.00;23755.37
168;LATEX COLOR OCRE X 10 LTS.;1.00;49918.75
169;LATEX COLOR ROJO X 1 LT. (PACK X 4);5.00;6810.50
170;LATEX COLOR ROJO X 10 LTS.;0.00;49918.75
171;LATEX COLOR ROJO X 4 LTS.;3.00;23755.37
172;LATEX COLOR TEJA X 10 LTS.;2.00;49918.75
173;LATEX COLOR TERRACOTA X 10 LTS.;1.00;49918.75
174;LATEX COLOR TURQUESA X 1 LT. (PACK X 4);7.00;6810.50
175;LATEX COLOR TURQUESA X 10 LTS.;1.00;49918.75
176;LATEX COLOR TURQUESA X 4 LTS.;4.00;23755.37
177;LATEX COLOR NUEVO CEMENTO X 10 LTS.;1.00;49918.75
178;LATEX COLOR VERDE MANZANA X 1 LT. (PACK X 4);5.00;6810.50
179;LATEX COLOR VERDE MANZANA X 10 LT.;1.00;49918.75
180;LATEX COLOR VERDE MANZANA X 4 LT.;3.00;23755.37
181;LATEX COLOR VERDE X 1 LT. (PACK X 4);5.00;6810.50
182;LATEX COLOR VERDE X 10 LTS.;0.00;49918.75
183;LATEX COLOR VERDE X 4 LTS.;4.00;23755.37
184;LATEX COLOR OCRE X 1 LT. (PACK X 4);6.00;6810.50
185;LATEX COLOR OCRE X 4 LTS.;3.00;23755.37
186;LATEX COLOR TEJA X 1 LT. (PACK X 4);4.00;6810.50
187;LATEX COLOR TEJA X 4 LTS.;4.00;23755.37
188;LATEX COLOR TERRACOTA X 1 LT. (PACK X 4);11.00;6810.50
189;LATEX COLOR TERRACOTA X 4 LTS.;3.00;23755.37
190;LATEX COLOR NUEVO CEMENTO X 1 LT. (PACK X 4);4.00;6810.50
191;LATEX COLOR NUEVO CEMENTO X 4 LT.;4.00;23755.37
192;LATEX VENTO EXTERIOR BLANCO X 1 LT (PACK X 4);2.00;6707.89
193;LATEX VENTO EXTERIOR BLANCO X 10 LTS.;2.00;46830.52
194;LATEX VENTO EXTERIOR BLANCO X 20 LTS.;0.00;74075.52
195;LATEX VENTO EXTERIOR BLANCO X 4 LTS.;1.00;22028.74
196;LATEX VENTO INTERIOR X 1 LT. (PACK X 4);6.00;5528.53
197;LATEX VENTO INTERIOR X 10 LTS.;4.00;36456.24
198;LATEX VENTO INTERIOR X 20 LTS.;1.00;53519.17
199;LATEX VENTO INTERIOR X 4 LTS.;8.00;17535.94
200;LATIZADOR VENTO SACHET X 250 CC (CAJA X 10);7.00;680.07
205;PACK X 50. LIJA EKO AGUA Nº 100;0;806.40
206;PACK X 50. LIJA EKO AGUA Nº 120;0;806.40
207;PACK X 50. LIJA EKO AGUA Nº 150;0;806.40
208;PACK X 50. LIJA EKO AGUA Nº 180;0;806.40
209;PACK X 50. LIJA EKO AGUA Nº 220;0;917.11
210;PACK X 50. LIJA EKO AGUA Nº 240;0;1249.92
211;PACK X 50. LIJA EKO AGUA Nº 280;0;1249.92
212;PACK X 50. LIJA EKO AGUA Nº 320;0;1249.92
213;PACK X 50. LIJA EKO AGUA Nº 360;0;1249.92
